Topics,Alpha,Beta,Coherence
2,0.01,0.01,0.27648318385746967
2,0.01,0.31,0.2909144589724487
2,0.01,0.61,0.26814178573591385
2,0.01,0.9099999999999999,0.2777957527655336
2,0.01,symmetric,0.26719836183766743
2,0.31,0.01,0.26803495143874695
2,0.31,0.31,0.275116566029857
2,0.31,0.61,0.2811814161676415
2,0.31,0.9099999999999999,0.28802036371896067
2,0.31,symmetric,0.2834360660733929
2,0.61,0.01,0.24279346910614696
2,0.61,0.31,0.26777993975451736
2,0.61,0.61,0.27171967419590365
2,0.61,0.9099999999999999,0.26523793034464593
2,0.61,symmetric,0.26386918593604364
2,0.9099999999999999,0.01,0.2664548549164659
2,0.9099999999999999,0.31,0.24613095372454658
2,0.9099999999999999,0.61,0.27227035956497214
2,0.9099999999999999,0.9099999999999999,0.2868623781601923
2,0.9099999999999999,symmetric,0.2602894851879325
2,symmetric,0.01,0.24227306643301216
2,symmetric,0.31,0.2682113234171721
2,symmetric,0.61,0.27640118493776866
2,symmetric,0.9099999999999999,0.2838259082420006
2,symmetric,symmetric,0.2913952287253993
2,asymmetric,0.01,0.25155873415612473
2,asymmetric,0.31,0.29198799215296284
2,asymmetric,0.61,0.27475434643636093
2,asymmetric,0.9099999999999999,0.24860426840882666
2,asymmetric,symmetric,0.28541944460353885
3,0.01,0.01,0.28011903851846665
3,0.01,0.31,0.2885836036952773
3,0.01,0.61,0.28879342019198245
3,0.01,0.9099999999999999,0.29536363328686827
3,0.01,symmetric,0.27487668682518257
3,0.31,0.01,0.2965073374723152
3,0.31,0.31,0.2885140423671612
3,0.31,0.61,0.30100049613633056
3,0.31,0.9099999999999999,0.29594857289788684
3,0.31,symmetric,0.27018061663518844
3,0.61,0.01,0.28694338114576906
3,0.61,0.31,0.2993302405302762
3,0.61,0.61,0.2989108131698222
3,0.61,0.9099999999999999,0.32055415230488443
3,0.61,symmetric,0.29140541097001965
3,0.9099999999999999,0.01,0.27307462037450714
3,0.9099999999999999,0.31,0.29381695248009154
3,0.9099999999999999,0.61,0.3048875185140078
3,0.9099999999999999,0.9099999999999999,0.3070266631362358
3,0.9099999999999999,symmetric,0.3063762504495947
3,symmetric,0.01,0.27026359522994214
3,symmetric,0.31,0.2741122517213112
3,symmetric,0.61,0.30639390350258305
3,symmetric,0.9099999999999999,0.30453668471564604
3,symmetric,symmetric,0.2907146174967071
3,asymmetric,0.01,0.28007057382688944
3,asymmetric,0.31,0.30488111697981685
3,asymmetric,0.61,0.28234160437983497
3,asymmetric,0.9099999999999999,0.27764183491445166
3,asymmetric,symmetric,0.2822830780688384
4,0.01,0.01,0.28751938529720567
4,0.01,0.31,0.28662595180705386
4,0.01,0.61,0.2742596005587793
4,0.01,0.9099999999999999,0.2739037386247002
4,0.01,symmetric,0.26096961507552774
4,0.31,0.01,0.2778743866281996
4,0.31,0.31,0.29285782102713226
4,0.31,0.61,0.2668177238305759
4,0.31,0.9099999999999999,0.29633927818446215
4,0.31,symmetric,0.29013602393997445
4,0.61,0.01,0.2789835105105895
4,0.61,0.31,0.27836849245681555
4,0.61,0.61,0.2826339445583401
4,0.61,0.9099999999999999,0.2902969524209744
4,0.61,symmetric,0.2676822329865016
4,0.9099999999999999,0.01,0.2860292651424311
4,0.9099999999999999,0.31,0.2894234999890187
4,0.9099999999999999,0.61,0.3080740931113902
