Topics,Alpha,Beta,Coherence
2,0.01,0.01,0.31225737165715706
2,0.01,0.31,0.31856722053257347
2,0.01,0.61,0.3122314543439317
2,0.01,0.9099999999999999,0.35245950698697703
2,0.01,symmetric,0.30289458739719
2,0.31,0.01,0.3185662350577205
2,0.31,0.31,0.33641549869814347
2,0.31,0.61,0.33628544877099353
2,0.31,0.9099999999999999,0.328913353455552
2,0.31,symmetric,0.3147614283898451
2,0.61,0.01,0.31053061342612953
2,0.61,0.31,0.3185049985369296
2,0.61,0.61,0.3145226960801387
2,0.61,0.9099999999999999,0.31225287222806397
2,0.61,symmetric,0.3186541563728454
2,0.9099999999999999,0.01,0.3349948206232559
2,0.9099999999999999,0.31,0.3238776498724255
2,0.9099999999999999,0.61,0.3184066481626193
2,0.9099999999999999,0.9099999999999999,0.31757951739172463
2,0.9099999999999999,symmetric,0.32450793287959123
2,symmetric,0.01,0.3135164238386556
2,symmetric,0.31,0.32912238397142357
2,symmetric,0.61,0.324730473527697
2,symmetric,0.9099999999999999,0.3242545534738971
2,symmetric,symmetric,0.32249005096313
2,asymmetric,0.01,0.315774815677255
2,asymmetric,0.31,0.34268171425677596
2,asymmetric,0.61,0.34216342812256395
2,asymmetric,0.9099999999999999,0.33517013050578026
2,asymmetric,symmetric,0.3315175368482351
3,0.01,0.01,0.3164759499465229
3,0.01,0.31,0.31229043425952474
3,0.01,0.61,0.3080456032418721
3,0.01,0.9099999999999999,0.38769885835079393
3,0.01,symmetric,0.32877460243281864
3,0.31,0.01,0.3213605778124541
3,0.31,0.31,0.3258790913897214
3,0.31,0.61,0.3432020788376957
3,0.31,0.9099999999999999,0.3453776691831976
3,0.31,symmetric,0.3361049813741655
3,0.61,0.01,0.3125845537562599
3,0.61,0.31,0.3280810707382795
3,0.61,0.61,0.32513003219048014
3,0.61,0.9099999999999999,0.3377497574867537
3,0.61,symmetric,0.3239648478917376
3,0.9099999999999999,0.01,0.3281842195909089
3,0.9099999999999999,0.31,0.318196592992965
3,0.9099999999999999,0.61,0.32293680944462094
3,0.9099999999999999,0.9099999999999999,0.35037624202292167
3,0.9099999999999999,symmetric,0.3224116710631592
3,symmetric,0.01,0.31890986441957364
3,symmetric,0.31,0.31866736843639193
3,symmetric,0.61,0.31719258908349596
3,symmetric,0.9099999999999999,0.3336371659910493
3,symmetric,symmetric,0.3238617611022734
3,asymmetric,0.01,0.32186538174519974
3,asymmetric,0.31,0.3298965200085547
3,asymmetric,0.61,0.3210265140246436
3,asymmetric,0.9099999999999999,0.33469765529596307
3,asymmetric,symmetric,0.322032914260932
4,0.01,0.01,0.3335786994525063
4,0.01,0.31,0.3258420350620177
4,0.01,0.61,0.37205908717062264
4,0.01,0.9099999999999999,0.3593406396817899
4,0.01,symmetric,0.3176772508514062
4,0.31,0.01,0.31557955444391145
4,0.31,0.31,0.30619045566413694
4,0.31,0.61,0.3746741124324389
4,0.31,0.9099999999999999,0.3604904322897218
4,0.31,symmetric,0.31709002735996
4,0.61,0.01,0.31259822558140093
4,0.61,0.31,0.3178672867726214
4,0.61,0.61,0.37321278030589194
4,0.61,0.9099999999999999,0.37098132198064304
4,0.61,symmetric,0.3180144920938842
4,0.9099999999999999,0.01,0.3345485302584135
4,0.9099999999999999,0.31,0.31868508786538396
4,0.9099999999999999,0.61,0.3555559132271688
4,0.9099999999999999,0.9099999999999999,0.3622252624534282
4,0.9099999999999999,symmetric,0.31653729137718545
4,symmetric,0.01,0.3168303542142292
4,symmetric,0.31,0.31035586192421427
4,symmetric,0.61,0.362358965687002
4,symmetric,0.9099999999999999,0.37553838953518814
4,symmetric,symmetric,0.3104950124027597
4,asymmetric,0.01,0.33755516414218745
4,asymmetric,0.31,0.3268474514948114
4,asymmetric,0.61,0.34495161849598405
4,asymmetric,0.9099999999999999,0.3683392931759437
4,asymmetric,symmetric,0.33355569703188614
5,0.01,0.01,0.3212501275582511
5,0.01,0.31,0.34972346225710826
5,0.01,0.61,0.36859422724095714
5,0.01,0.9099999999999999,0.3558132120935162
5,0.01,symmetric,0.35612605581761886
5,0.31,0.01,0.32739714970345346
5,0.31,0.31,0.32726677819965594
5,0.31,0.61,0.3618722398999424
5,0.31,0.9099999999999999,0.35461278450386224
5,0.31,symmetric,0.3174311300065053
5,0.61,0.01,0.3359102904152308
5,0.61,0.31,0.3258187164140085
5,0.61,0.61,0.36894162911427775
